States,first,second,third,fourth,fifth,sixth,seventh,eighth
Andaman and Nicobar,4,5,13,24,26,45,36,30
Andhra Pradesh,1751,2084,2428,3241,3487,3673,3693,2797
Arunachal Pradesh,6,277,939,1475,1225,1438,1023,555
Assam,212,987,1429,1429,1460,1421,1262,871
Bihar,672,849,1469,1916,1702,2102,2072,1382
Chandigarh,32,173,371,712,752,791,785,457
Chhattisgarh,648,1541,2496,3595,3328,3735,3791,2434
Dadra and Nagar Haveli,1,868,1459,1646,1493,1740,1887,1224
Daman and Diu,3,183,418,517,517,603,558,330
Goa,189,442,693,928,1195,1126,833,393
Gujarat,1232,592,703,749,670,847,678,419
Haryana,726,3219,4576,6393,6646,7119,7377,5342
Himachal Pradesh,199,1232,4145,6709,6057,8172,6114,2684
Jammu and Kashmir,168,2384,5370,7106,7337,7030,5791,2755
Jharkhand,247,3330,4853,6430,6522,7126,7421,5324
Karnataka,3022,8,47,162,148,173,141,49
Kerala,759,19,30,45,59,55,50,33
Lakshadweep,0,12,11,9,11,20,15,12
Madhya Pradesh,1925,2,3,3,8,6,5,1
Maharashtra,3376,880,1099,1413,1283,1651,1564,1089
Manipur,7,392,683,842,943,998,1380,766
Meghalaya,10,1428,2622,3706,4234,4841,4215,2465
Mizoram,5,8,15,17,12,27,29,16
Nagaland,0,4057,7973,9593,9955,11902,13927,7158
NCT of Delhi,757,2382,1884,2390,2395,2996,3484,2962
Odisha,661,21,53,199,123,161,96,48
Puducherry,28,2824,3376,3547,3522,3929,4099,2661
Punjab,387,81,95,122,117,137,113,75
Rajasthan,1128,1634,2022,2998,2570,2458,2132,1836
Sikkim,6,6,25,28,55,36,41,23
Tamil Nadu,2685,29,42,51,41,56,66,49
Telangana,1585,1,8,7,13,22,27,8
Tripura,15,0,4,6,5,7,12,2
Uttar Pradesh,2106,581,867,925,909,1208,1502,1561
Uttarakhand,61,0,0,0,1,0,0,0
West Bengal,1455,23,58,109,97,179,115,62
